,City,Cloudiness (%),Country,Date,Humidity (%),Latitude,Longitude,Max Temperature (F),Wind Speed (mph)
0,Saint-Augustin,0,FR,1554664889,71,44.83,-0.61,53.08,8.05
1,Rikitea,32,PF,1554664984,100,-23.12,-134.97,77.15,8.3
2,Talnakh,88,RU,1554664819,94,69.49,88.39,19.55,5.17
3,Ust-Tsilma,88,RU,1554665043,86,65.44,52.15,33.59,2.26
4,Kaitangata,0,NZ,1554665043,65,-46.28,169.85,33.05,3.71
5,Lerwick,0,GB,1554663000,70,60.15,-1.15,42.8,28.86
6,High Level,90,CA,1554663600,86,58.52,-117.13,33.8,3.36
7,Narsaq,88,GL,1554663000,91,60.91,-46.05,32,2.24
8,Dikson,36,RU,1554665010,100,73.51,80.55,11.09,2.93
9,Kodiak,75,US,1554664923,22,39.95,-94.76,72.1,11.41
10,Ust-Kan,68,RU,1554665044,76,50.93,84.77,21.8,2.48
11,Mataura,0,NZ,1554664988,70,-46.19,168.86,27.47,2.82
12,Honningsvag,75,NO,1554663000,63,70.98,25.97,29.39,16.11
13,Omsukchan,76,RU,1554665045,85,62.53,155.8,18.29,2.59
14,Mitu,80,IR,1554665045,96,36.2,46.09,39.98,2.15
15,Port Alfred,20,ZA,1554664899,90,-33.59,26.89,64.99,5.99
16,Kapaa,40,US,1554664698,73,22.08,-159.32,73.2,8.05
17,Castlemaine,90,IE,1554661800,71,52.17,-9.7,51.8,8.05
18,Bethel,20,US,1554663360,81,60.79,-161.76,29.01,14.99
19,Mahebourg,40,MU,1554665040,74,-20.41,57.7,79.05,16.11
20,Pucallpa,75,PE,1554660000,331,-8.38,-74.54,35.6,6.93
21,Ayr,90,GB,1554664963,87,55.46,-4.63,44.08,17.22
22,Ushuaia,75,AR,1554660000,75,-54.81,-68.31,42.04,27.51
23,Bredasdorp,0,ZA,1554663638,88,-34.53,20.04,64.17,3.36
24,Flinders,12,AU,1554664935,67,-34.58,150.85,62.06,3.36
25,Lompoc,1,US,1554664755,60,34.64,-120.46,70.93,10.29
26,Vaini,0,IN,1554665047,81,15.34,74.49,72.65,2.71
27,Bluff,0,AU,1554665047,86,-23.58,149.07,61.13,3.83
28,Shreveport,40,US,1554664812,83,32.52,-93.77,75.27,10.29
29,Lebach,40,DE,1554664813,81,49.41,6.91,53.06,10.29
30,Saint-Philippe,90,CA,1554665046,43,45.36,-73.48,50.27,4.7
31,Vao,24,EE,1554665048,62,59.1,26.19,45.2,6.85
32,Padang,76,ID,1554665048,100,-0.92,100.36,83.72,5.84
33,Busselton,0,AU,1554664812,59,-33.64,115.35,49.28,11.88
34,Linxia,48,CN,1554665049,80,35.6,103.21,40.16,3.27
35,Sayyan,0,YE,1554665049,82,15.17,44.32,52.58,0.81
36,Punta Arenas,0,CL,1554664350,88,-53.16,-70.91,48.11,14.99
37,Lorengau,92,PG,1554665049,100,-2.02,147.27,79.67,5.73
38,Cape Town,75,ZA,1554664861,93,-33.93,18.42,63.59,10.29
39,Aykhal,76,RU,1554665049,84,65.95,111.51,23.6,5.06
40,Pinega,36,RU,1554665050,85,64.7,43.39,32.51,4.5
41,Atuona,20,PF,1554665050,97,-9.8,-139.03,82.91,16.13
42,Berlevag,75,NO,1554663000,68,70.86,29.09,27.73,19.46
43,Flin Flon,90,CA,1554660000,79,54.77,-101.88,21.2,8.05
44,Ilulissat,75,GL,1554663000,41,69.22,-51.1,41,18.34
45,Paamiut,8,GL,1554664973,91,61.99,-49.67,33.77,12.77
46,Carnarvon,68,ZA,1554665051,51,-30.97,22.13,64.73,14.56
